LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Wed Oct 08 18:05:47 +0530 2025
 470 atoms
 460 bonds
 900 angles
 1260 dihedrals
 0 impropers
 2 atom types
 2 bond types
 3 angle types
 3 dihedral types
 0 improper types
 0 20  xlo xhi
 0 20   ylo yhi
 0 20   zlo zhi

# Pair Coeffs
#
# 1  C
# 2  H

# Bond Coeffs
#
# 1  C-C
# 2  C-H

# Angle Coeffs
#
# 1  C-C-C
# 2  C-C-H
# 3  H-C-H

# Dihedral Coeffs
#
# 1  C-C-C-C
# 2  C-C-C-H
# 3  H-C-C-H

 Masses

 1 12.010700 # C
 2 1.007940 # H

 Atoms # full

45	1	1	-0.18	16.951	4.238	19.156	#	C	UNL
46	1	2	0.09	15.372	2.825	19.577	#	H	UNL
47	1	2	0.09	16.610001	2.213	18.481001	#	H	UNL
48	2	1	-0.18	18.697001	13.963	17.237	#	C	UNL
49	2	1	-0.18	18.805	14.276	15.733	#	C	UNL
50	2	2	0.09	14.429	15.415	0.558	#	H	UNL
51	2	2	0.09	15.195	14.252	1.651	#	H	UNL
52	2	2	0.09	13.465	14.616	1.811	#	H	UNL
53	2	2	0.09	18.768999	14.88	17.827999	#	H	UNL
54	2	2	0	17.743999	13.478	17.461	#	H	UNL
55	2	2	0	19.503	13.292	17.544001	#	H	UNL
56	2	1	-0.18	17.679001	15.223	15.274	#	C	UNL
57	2	2	0.09	19.777	14.733	15.531	#	H	UNL
58	2	2	0.09	18.756001	13.342	15.167	#	H	UNL
59	2	1	-0.18	17.785999	15.533	13.766	#	C	UNL
60	2	2	0.09	17.732	16.156	15.842	#	H	UNL
61	2	2	0.09	16.708	14.765	15.483	#	H	UNL
62	2	1	-0.18	16.664	16.489	13.311	#	C	UNL
63	2	2	0.09	18.759001	15.987	13.555	#	H	UNL
64	2	2	0.09	17.726	14.602	13.197	#	H	UNL
65	2	1	-0.18	16.766001	16.797001	11.802	#	C	UNL
66	2	2	0.09	15.692	16.037001	13.525	#	H	UNL
67	2	2	0.09	16.726999	17.422001	13.878	#	H	UNL
68	2	1	-0.18	15.646	17.764	11.356	#	C	UNL
69	2	2	0.09	17.74	17.243	11.587	#	H	UNL
70	2	2	0.09	16.698	15.862	11.242	#	H	UNL
71	2	1	-0.18	15.761	18.177999	9.872	#	C	UNL
72	2	2	0.09	14.668	17.309999	11.537	#	H	UNL
73	2	2	0.09	15.697	18.667999	11.968	#	H	UNL
74	2	1	-0.18	15.463	17.014	8.897	#	C	UNL
75	2	2	0.09	15.048	18.983999	9.685	#	H	UNL
76	2	2	0.09	16.759001	18.580999	9.677	#	H	UNL
77	2	1	-0.18	15.464	17.502001	7.434	#	C	UNL
78	2	2	0.09	16.214001	16.229	9.014	#	H	UNL
79	2	2	0.09	14.489	16.58	9.135	#	H	UNL
80	2	1	-0.18	15.152	16.347	6.458	#	C	UNL
81	2	2	0.09	14.718	18.291	7.312	#	H	UNL
82	2	2	0.09	16.441	17.931	7.192	#	H	UNL
83	2	1	-0.18	15.133	16.841	4.997	#	C	UNL
84	2	2	0.09	15.905	15.563	6.569	#	H	UNL
85	2	2	0.09	14.181	15.913	6.708	#	H	UNL
86	2	1	-0.18	14.807	15.691	4.021	#	C	UNL
87	2	2	0.09	14.386	17.632	4.89	#	H	UNL
88	2	2	0.09	16.107	17.268999	4.743	#	H	UNL
89	2	1	-0.18	14.777	16.188	2.56	#	C	UNL
90	2	2	0.09	15.556	14.903	4.122	#	H	UNL
91	2	2	0.09	13.836	15.259	4.278	#	H	UNL
92	2	1	-0.18	14.445	15.044	1.586	#	C	UNL
93	2	2	0.09	14.029	16.978001	2.454	#	H	UNL
94	2	2	0.09	15.748	16.615999	2.296	#	H	UNL
95	3	1	-0.18	5.132	9.508	0.968	#	C	UNL
96	3	1	-0.18	5.852	10.282	2.087	#	C	UNL
97	3	2	0.09	16.177	13.134	13.749	#	H	UNL
98	3	2	0.09	14.545	12.484	13.529	#	H	UNL
99	3	2	0.09	15.954	11.551	12.987	#	H	UNL
100	3	2	0.09	5.293	9.99	0	#	H	UNL
101	3	2	0	5.5	8.481	0.911	#	H	UNL
102	3	2	0	4.057	9.477	1.16	#	H	UNL
103	3	1	-0.18	7.373	10.343	1.839	#	C	UNL
104	3	2	0.09	5.446	11.295	2.142	#	H	UNL
